,Dataset,N_tr,seed,DetectT,Masktr,Maskte,Maskepoch,MaskT,Masksize,FCtr,FCte,FCepoch,FCT,FCsize,RFtr,RFte,RFT
12,2,2670,2,47.86761212348938,0.08421824981053416,0.09114565700292587,26,45.71458601951599,7869.1796875,0.0805887468527397,0.091466024518013,18,55.70109701156616,19549.3046875,0.036859201074247346,0.0978649438541154,0.3323090076446533
13,2,2671,3,43.191365480422974,0.11361587358731773,0.10474953800439835,22,46.974111795425415,7869.1796875,0.10492866335223747,0.10428701341152191,20,54.16741490364075,19549.3046875,0.05141618372487079,0.11758278808803356,0.2583329677581787
14,2,2671,4,45.86021280288696,0.10086767752624941,0.09367287158966064,55,44.99795126914978,7869.1796875,0.10419102302814584,0.09584137797355652,8,59.44624161720276,19549.3046875,0.046406763718990295,0.10328853048602786,0.3352069854736328
15,3,13903,0,38.55981707572937,0.03734780455713929,0.041588179767131805,277,191.6184949874878,6947.8828125,0.018311041726509738,0.04082946851849556,182,206.12015628814697,19471.1796875,0.020006998008803355,0.04822259693342239,0.692575216293335
16,3,13903,1,30.779613971710205,0.038787010791878386,0.04130459576845169,272,194.09025597572327,6947.8828125,0.02385834385414389,0.03979156166315079,120,210.72520923614502,19471.1796875,0.019837171478534973,0.04744928764179083,0.6870641708374023
17,3,13903,2,33.82073521614075,0.03688162038693093,0.03978641331195831,285,192.02171111106873,6947.8828125,0.02310663790348039,0.03842523694038391,127,208.48932528495789,19471.1796875,0.02009485986770631,0.045462140099720515,0.6319892406463623
18,3,13903,3,34.067511320114136,0.039012095655242385,0.04161566123366356,250,192.1997208595276,6947.8828125,0.020256120551067937,0.03997207432985306,134,207.24854373931885,19471.1796875,0.019847076605162935,0.046501251410084675,0.668043851852417
19,3,13904,4,29.782565593719482,0.040956647823255365,0.0456196665763855,275,190.64988589286804,6947.8828125,0.023101065623048537,0.042608533054590225,138,209.21088457107544,19471.1796875,0.021041889969032005,0.05016112639985203,0.6828882694244385
20,4,16512,0,13.383513927459717,0.09533729058525757,0.09933142364025116,287,210.828777551651,1303.95703125,0.09796482868822433,0.10521740466356277,44,242.29142546653748,19334.4609375,0.045336357934886794,0.1069860823409293,1.0636963844299316
21,4,16512,1,14.450991868972778,0.09579004114019869,0.09999144822359085,286,209.93952536582947,1303.95703125,0.09685338603746291,0.10573437809944153,42,239.9097592830658,19334.4609375,0.04635236685362229,0.10535799068077176,1.14674711227417
22,4,16512,2,12.910888910293579,0.0985894736143234,0.10390929877758026,291,207.88079524040222,1303.95703125,0.09603456622249737,0.10614612698554993,49,240.3154022693634,19334.4609375,0.04615621397627022,0.10791293680745728,1.1880159378051758
23,4,16512,3,15.786370992660522,0.09737816486476937,0.10516536980867386,259,208.04993104934692,1303.95703125,0.09821253076193166,0.1085396483540535,33,240.74306869506836,19334.4609375,0.0442784127068452,0.10784721829319031,1.0099008083343506
24,4,16512,4,11.448740720748901,0.0976385127209445,0.10269998013973236,270,209.99534010887146,1303.95703125,0.09381115024120759,0.10366586595773697,58,241.18510818481445,19334.4609375,0.0456791798329507,0.10543396106204188,1.2457189559936523
