,TrRatio,Dataset,N_tr,seed,DetectT,Masktr,Maskte,Maskepoch,MaskT,Masksize,FCtr,FCte,FCepoch,FCT,FCsize,RFtr,RFte,RFT
10,0.2,2,1600,0,18.72169423,0.011725572,0.017655879,394,39.98877501,1504.386719,0.003121109,0.026408929,296,53.87485766,19373.52344,0.027131035,0.060845085,0.135180712
11,0.2,2,1600,1,17.41855288,0.013965727,0.020548603,356,40.74734354,1504.386719,0.00500239,0.029732233,394,55.32338762,19373.52344,0.028169826,0.062973807,0.153889894
12,0.2,2,1600,2,21.24226022,0.011523201,0.01825309,396,40.47534084,1504.386719,0.012069265,0.027846614,396,54.30852365,19373.52344,0.027382839,0.062743061,0.139466524
13,0.2,2,1600,3,21.86990619,0.012449588,0.020343035,398,40.91984105,1504.386719,0.00176647,0.028564885,340,54.58708549,19373.52344,0.027709917,0.063707789,0.118096113
14,0.2,2,1600,4,18.70870543,0.009586407,0.0151546,376,40.29935932,1504.386719,0.000907567,0.029512234,387,54.0333643,19373.52344,0.028431005,0.065876788,0.139183998
60,0.15,2,1200,0,13.68940878,0.010761435,0.019272625,389,30.14758277,1504.386719,0.002312486,0.033354312,360,42.4988215,19373.52344,0.029240265,0.066273578,0.08138442
61,0.15,2,1200,1,12.1453774,0.011372912,0.018277897,378,30.06744027,1504.386719,0.001970561,0.035990186,357,43.88884473,19373.52344,0.029697633,0.067853567,0.101932049
62,0.15,2,1200,2,13.06880307,0.011506319,0.01982853,395,30.53039026,1504.386719,0.001380615,0.032329176,388,43.8282299,19373.52344,0.029200997,0.066013096,0.101124763
63,0.15,2,1200,3,13.82721496,0.013706631,0.021159841,376,29.370682,1504.386719,0.004561912,0.033827066,358,43.88811064,19373.52344,0.029465706,0.06592175,0.079011679
64,0.15,2,1200,4,18.54396844,0.013695214,0.018763812,398,29.26451302,1504.386719,0.004455829,0.035168931,387,43.51088452,19373.52344,0.028439265,0.064737878,0.108743191
110,0.1,2,800,0,12.75820947,0.010242299,0.019937141,392,22.21499109,1504.386719,0.00322064,0.041346863,387,35.46977115,19373.52344,0.030840408,0.06935303,0.056672096
111,0.1,2,800,1,14.72583246,0.013147162,0.025547689,394,21.21277452,1504.386719,0.002700669,0.043225314,398,36.74906468,19373.52344,0.029276768,0.067629012,0.059536934
112,0.1,2,800,2,14.02381897,0.014353162,0.023666468,396,22.31141472,1504.386719,0.004333674,0.04064279,379,36.64486003,19373.52344,0.03078971,0.068662178,0.070058823
113,0.1,2,800,3,11.01044106,0.013166707,0.02261336,289,21.4362638,1504.386719,0.001218167,0.044276312,306,37.42579246,19373.52344,0.031486132,0.067652051,0.092113733
114,0.1,2,800,4,11.79342675,0.010316858,0.019977385,377,21.94028068,1504.386719,0.011274578,0.0428201,291,57.36388731,19373.52344,0.028069773,0.065660023,0.080265045
160,0.075,2,600,0,13.26477242,0.015036866,0.030957365,291,17.55269766,1504.386719,0.003119282,0.054465633,376,33.75354624,19373.52344,0.030869767,0.071877661,0.056588888
161,0.075,2,600,1,13.17469215,0.012978128,0.02798363,390,17.41434002,1504.386719,0.00380213,0.053864717,336,33.65604663,19373.52344,0.030989511,0.076996206,0.057948828
162,0.075,2,600,2,14.57117009,0.014495685,0.026115939,392,16.61970425,1504.386719,0.00761167,0.050789982,384,34.15493226,19373.52344,0.030771204,0.071645857,0.048404455
163,0.075,2,600,3,12.16245747,0.014122868,0.027896699,360,17.58319569,1504.386719,0.011020296,0.053244695,323,34.08582807,19373.52344,0.028716551,0.070158396,0.055724859
164,0.075,2,600,4,14.02265859,0.030066174,0.041240647,109,17.7490294,1504.386719,0.003089391,0.049588069,357,35.51323152,19373.52344,0.028975704,0.071368957,0.056400776
210,0.05,2,400,0,13.5058527,0.010086507,0.031780403,381,9.983347893,1504.386719,0.005496888,0.060757518,393,56.94595885,19373.52344,0.035431028,0.081346831,0.040380955
211,0.05,2,400,1,13.56216049,0.015823024,0.035353828,206,10.40262938,1504.386719,0.008629967,0.064748965,318,59.92065454,19373.52344,0.037776181,0.092342143,0.035906792
212,0.05,2,400,2,15.36108589,0.011582051,0.030654913,358,9.465226889,1504.386719,0.016908452,0.072794616,264,62.56273031,19373.52344,0.037951976,0.087876038,0.033699989
213,0.05,2,400,3,16.21325326,0.011343778,0.031320289,390,10.16762805,1504.386719,0.021735333,0.065210685,207,64.07912731,19373.52344,0.037321753,0.089982503,0.035679817
214,0.05,2,400,4,16.02927852,0.012385919,0.035647247,383,10.03438044,1504.386719,0.006627146,0.063112915,305,67.25521493,19373.52344,0.03251666,0.076008966,0.040013075
15,0.2,3,1600,0,17.6783483,0.011325911,0.016364029,386,41.02285242,1504.386719,0.002832072,0.027320713,309,54.1049962,19373.52344,0.026802187,0.061212468,0.134254932
16,0.2,3,1600,1,18.4554863,0.010332197,0.015439812,398,39.00603366,1504.386719,0.002527755,0.027806174,333,53.64399314,19373.52344,0.027509213,0.06133944,0.141039133
17,0.2,3,1600,2,18.96660781,0.010090859,0.015576796,392,40.75100803,1504.386719,0.003615271,0.027505103,384,53.97241139,19373.52344,0.026911368,0.061177384,0.134485722
18,0.2,3,1600,3,16.47270155,0.01032251,0.015875442,380,41.44043803,1504.386719,0.003187195,0.027731976,297,54.81933475,19373.52344,0.027132911,0.061542695,0.174933434
19,0.2,3,1600,4,20.70387435,0.009529483,0.015207104,376,39.58729339,1504.386719,0.000912017,0.028681239,297,54.97260451,19373.52344,0.027399111,0.061967133,0.133994818
65,0.15,3,1200,0,12.60591316,0.010029801,0.015752798,371,30.23902154,1504.386719,0.010733376,0.033477426,398,44.023036,19373.52344,0.028532999,0.064259433,0.100296021
66,0.15,3,1200,1,14.49686623,0.011910886,0.019097602,377,30.21617556,1504.386719,0.002770758,0.034815524,332,44.23858953,19373.52344,0.028473672,0.06411515,0.101775408
