,TrRatio,Dataset,N_tr,seed,DetectT,Masktr,Maskte,Maskepoch,MaskT,Masksize,FCtr,FCte,FCepoch,FCT,FCsize,RFtr,RFte,RFT
15,0.2,3,1600,0,17.678348302841187,0.011325910690344063,0.016364028677344322,386,41.022852420806885,1504.38671875,0.0028320721457911146,0.02732071280479431,309,54.10499620437622,19373.5234375,0.026802186813990526,0.06121246769024005,0.13425493240356445
16,0.2,3,1600,1,18.455486297607422,0.010332197457458118,0.01543981209397316,398,39.00603365898132,1504.38671875,0.00252775529058187,0.027806174010038376,333,53.64399313926697,19373.5234375,0.027509212933688357,0.061339439648717305,0.14103913307189941
17,0.2,3,1600,2,18.966607809066772,0.010090858875691194,0.015576795674860477,392,40.75100803375244,1504.38671875,0.0036152710183074118,0.02750510349869728,384,53.97241139411926,19373.5234375,0.02691136781381672,0.061177383953968545,0.13448572158813477
18,0.2,3,1600,3,16.47270154953003,0.010322510136947089,0.01587544195353985,380,41.44043803215027,1504.38671875,0.003187194589281598,0.02773197554051876,297,54.819334745407104,19373.5234375,0.027132911067437135,0.06154269531717362,0.17493343353271484
19,0.2,3,1600,4,20.703874349594116,0.009529482670148932,0.01520710438489914,376,39.58729338645935,1504.38671875,0.0009120174840726877,0.028681239113211632,297,54.972604513168335,19373.5234375,0.02739911114274542,0.06196713317138051,0.13399481773376465
20,0.2,4,1600,0,20.81288766860962,0.018150099442686758,0.025560302659869194,355,40.77453136444092,1504.38671875,0.012302720963643026,0.02980979159474373,33,54.99757933616638,19373.5234375,0.03785033805819167,0.08339222172292747,0.128936767578125
21,0.2,4,1600,1,20.18126392364502,0.01853867412266978,0.026492511853575706,376,40.97960066795349,1504.38671875,0.00122678975780369,0.03029947727918625,362,54.35508465766907,19373.5234375,0.03590080555493919,0.08152272912914077,0.13261914253234863
22,0.2,4,1600,2,19.910270929336548,0.01807533139629678,0.024655358865857124,349,40.09220743179321,1504.38671875,0.005924781821008491,0.031221626326441765,350,54.16733360290527,19373.5234375,0.03724170570081807,0.08363986805384667,0.1339278221130371
23,0.2,4,1600,3,23.279317378997803,0.018670845116133695,0.026731284335255623,392,40.31956458091736,1504.38671875,0.01205246378152922,0.03038501739501953,32,54.38708162307739,19373.5234375,0.035854105360395426,0.08280404753876094,0.13187265396118164
24,0.2,4,1600,4,25.15302538871765,0.017968177055953504,0.0250687338411808,370,39.443897008895874,1504.38671875,0.009780486082082904,0.030174780637025833,26,55.04892349243164,19373.5234375,0.036548203430659745,0.08005415303500192,0.15316081047058105
25,0.2,5,1600,0,18.67011022567749,0.00646019385560442,0.009596058167517185,397,41.065804958343506,1504.38671875,0.0004911940600015928,0.023107439279556274,396,53.27635455131531,19373.5234375,0.020079146122611174,0.04672000699038775,0.13799786567687988
26,0.2,5,1600,1,21.141807794570923,0.006229708522758132,0.009627491235733032,377,41.392919063568115,1504.38671875,0.0025347592611750422,0.021614989265799522,352,54.879844665527344,19373.5234375,0.01975429998038435,0.04739077602769759,0.13867902755737305
27,0.2,5,1600,2,21.5545871257782,0.006477470860885248,0.009651340544223785,388,40.74446153640747,1504.38671875,0.0028529800976266335,0.022567512467503548,339,54.08711051940918,19373.5234375,0.020361357651954987,0.04653802002001109,0.14130544662475586
28,0.2,5,1600,3,14.824673175811768,0.005092019901013266,0.00775447441264987,382,39.88179039955139,1504.38671875,0.0018395749095390444,0.02365250512957573,393,53.57091784477234,19373.5234375,0.020609139148686752,0.047689814045448344,0.11952400207519531
29,0.2,5,1600,4,21.356325149536133,0.005696133436242697,0.009360067546367645,397,40.1320219039917,1504.38671875,0.0015215766749228433,0.02189597487449646,386,53.892122983932495,19373.5234375,0.02013457071424112,0.04751587960558195,0.11978960037231445
30,0.2,6,1600,0,22.44545865058899,0.007904536789963817,0.010444327257573605,360,40.54571318626404,1504.38671875,0.0010902481313115676,0.013724392279982567,366,56.292370557785034,19373.5234375,0.03118631377885314,0.0720057995225304,0.11917972564697266
31,0.2,6,1600,1,22.001480102539062,0.007645495956863897,0.01074289157986641,377,39.87756323814392,1504.38671875,0.0019136551738445555,0.01298748143017292,344,55.51244640350342,19373.5234375,0.032047888799813656,0.07003782614491195,0.10236096382141113
32,0.2,6,1600,2,16.34026265144348,0.007349723377986782,0.009939447045326233,364,37.42420053482056,1504.38671875,0.0016610825369634005,0.012698393315076828,398,55.570570945739746,19373.5234375,0.03143463426719051,0.07016208383273637,0.10682225227355957
